Titre;Type;Ancienne URL;Statut Recommandé;Nouvelle URL Cible;Action FALC
"Evénements mai 2025";"page";"/evenements-mai-2025/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Evénements GHE printemps 2025";"page";"/evenements-ghe-printemps-2025/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Evénements GHE hiver 2025";"page";"/evenements-hiver-2025/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Evénements Groupement Hospitalier Est (GHE)";"page";"/evenement-groupement-hospitalier-est-ghe/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Événements février 2025";"page";"/evenements-fevrier-2025/";"Publié";"/actualites/evenements-fevrier-2025";"Synthèse FALC requise"
"Evénements janvier 2025";"page";"/evenements-janvier-2025/";"Brouillon";"/a-trier";"OK"
"Evénements hivers 2025";"page";"/evenements-hivers-2025/";"Brouillon";"/a-trier";"OK"
"Evénements avril 2025";"page";"/evenements-avril-2025/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Evénements mars 2025";"page";"/evenements-mars-2025/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Evénements printemps 2025";"page";"/evenements-printemps-2025-2/";"Brouillon";"/a-trier";"OK"
"Offres 2025";"page";"/offres-2025/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"S’inscrire";"page";"/register/";"Brouillon";"/a-trier";"OK"
"Paralysie Cérébrale";"page";"/paralysie-cerebrale/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/paralysie-cerebrale";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Activités physiques et maladies chroniques";"page";"/activites-physiques-et-maladies-chroniques/";"Brouillon";"/a-trier";"OK"
"Activités physiques et mucoviscidose";"page";"/activites-physiques-et-mucoviscidose/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/activites-physiques-et-mucoviscidose";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Activités physiques et maladies cérébelleuses";"page";"/activites-physiques-et-maladies-cerebelleuses/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/activites-physiques-et-maladies-cerebelleuses";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Activités Physiques et maladies neuromusculaires";"page";"/activites-physiques-et-maladies-neuromusculaires/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/activites-physiques-et-maladies-neuromusculaires";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Kinésithérapeute";"page";"/kinesitherapeute/";"Brouillon";"/a-trier";"OK"
"Enseignant en Activité Physique Adaptée";"page";"/enseignant-en-activite-physique-adaptee/";"Brouillon";"/a-trier";"OK"
"Troubles du comportement alimentaire";"page";"/activites-physiques-et-tca/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Pathologies cérébelleuses";"page";"/activites-physiques-et-pathologies-cerebelleuses/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/pathologies-cerebelleuses";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Outils pédagogiques  Activité physique";"page";"/outils-pedagogiques-activite-physique/";"Intégrer en sous-page";"/professionnels/outils-accompagnement";"OK"
"Mon compte";"page";"/mon-compte/";"Brouillon";"/a-trier";"OK"
"Réinitialisation du mot de passe";"page";"/reinitialisation-mot-de-passe/";"Brouillon";"/a-trier";"OK"
"Mot de passe perdu";"page";"/mot-de-passe-perdu/";"Brouillon";"/a-trier";"OK"
"Connexion";"page";"/connexion/";"Brouillon";"/a-trier";"OK"
"Le Guide Booster";"page";"/guidebooster-handiboost/";"Accès direct";"/guide-booster";"OK"
"Adhésions et dons";"page";"/devenir-donateur/";"Brouillon";"/a-trier";"OK"
"Rejoignez Handiboost";"page";"/rejoignez-handiboost/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Mentions légales";"page";"/mentions-legales/";"Brouillon";"/a-trier";"OK"
"Politique de confidentialité";"page";"/politique-de-confidentialite/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Témoignages";"page";"/temoignages/";"Conserver";"/temoignages";"OK"
"Références";"page";"/references/";"Intégrer en sous-page";"/professionnels/references";"OK"
"Exemple d’accompagnement en APA";"page";"/exempledaccompagnementenapa/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Maladies neuromusculaires";"page";"/maladies-neuromusculaires/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/maladies-neuromusculaires";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Contact";"page";"/contact/";"Conserver";"/contact";"Synthèse FALC requise"
"Bouger et se faire plaisir";"page";"/bougez-et-se-faire-plaisir/";"Brouillon";"/a-trier";"OK"
"Où pratiquer ?";"page";"/annuaire/";"Intégrer en sous-page";"/pratiquants/ou-pratiquer";"OK"
"#Bougez comme vous êtes";"page";"/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Réutilisables";"page";"/reutilisables/";"Brouillon";"/a-trier";"OK"
"Actu : Stratégie nationale sport et handicap 2030";"post";"/actu-strategie-nationale-sport-et-handicap-2030/";"Publié";"/actualites/actu-strategie-nationale-sport-et-handicap-2030";"OK"
"Journée Handiboost du 3 juin 2026";"post";"/journee-handiboost-du-3-juin-2026/";"Publié";"/actualites/journee-handiboost-du-3-juin-2026";"Synthèse FALC requise"
"Actu : stratégie nationale 2025-2030";"post";"/actu-strategie-nationale-2025-2030/";"Publié";"/actualites/actu-strategie-nationale-2025-2030";"OK"
"Actu : guide des piétons engagés";"post";"/actu-guide-des-pietons-engages/";"Publié";"/actualites/actu-guide-des-pietons-engages";"OK"
"Actu : rapport d&rsquo,activité 2024 CROS";"post";"/actu-rapport-dactivite-2024-cros/";"Archiver / Ne pas migrer";"-";"OK"
"Actu : rapport Delandre sur le sport santé";"post";"/actu-rapport-delandre/";"Publié";"/actualites/actu-rapport-delandre-sur-le-sport-sante";"OK"
"Actu : L’APA reconnue en hospitalisation à domicile !";"post";"/actu-lapa-reconnue-en-hospitalisation-a-domicile/";"Publié";"/actualites/actu-lapa-reconnue-en-hospitalisation-a-domicile";"OK"
"Actu: Soutien des mutuelles dans l’activité physique";"post";"/actu-soutien-des-mutuelles-dans-lactivite-physique/";"Publié";"/actualites/actu-soutien-des-mutuelles-dans-lactivite-physique";"OK"
"Actu : Vers un remboursement de l’APA pour les maladies cardiovasculaires";"post";"/actu-vers-un-remboursement-de-lapa-pour-les-maladies-cardiovasculaires/";"Publié";"/actualites/actu-vers-un-remboursement-de-lapa-pour-les-maladies-cardiovasculaires";"OK"
"Actu : soutien financier pour les personnes ayant un cancer du sein";"post";"/4651-2/";"Publié";"/actualites/actu-soutien-financier-pour-les-personnes-ayant-un-cancer-du-sein";"OK"
"Actu : fauteuils roulants remboursés à 100 % dès décembre 2025";"post";"/actu-fauteuils-roulants-rembourses-a-100-des-decembre-2025/";"Publié";"/actualites/actu-fauteuils-roulants-rembourses-a-100-des-decembre-2025";"Synthèse FALC requise"
"Actu : Sport et handicap : la PCH élargit ses aides";"post";"/actu-sport-et-handicap-la-pch-elargit-ses-aides/";"Publié";"/actualites/actu-sport-et-handicap-la-pch-elargit-ses-aides";"OK"
"Actu : la Réglo’Sport contre les violences dans le sport";"post";"/actu-la-reglosport-contre-les-violences-dans-le-sport/";"Publié";"/actualites/actu-la-reglosport-contre-les-violences-dans-le-sport";"OK"
"Actu : îlot sportif à Vénissieux";"post";"/actu-ilot-sportif-a-venissieux/";"Publié";"/actualites/actu-ilot-sportif-a-venissieux";"OK"
"Actu parasport : les évolutions à retenir !";"post";"/actu-parasport-les-evolutions-a-retenir/";"Publié";"/actualites/actu-parasport-les-evolutions-a-retenir";"OK"
"Événements APA au GHE  automne";"post";"/4490-2/";"Publié";"/actualites/evenements-apa-au-ghe-automne";"OK"
"Journée Handiboost du 4 juin 2025";"post";"/3451-2/";"Publié";"/actualites/journee-handiboost-du-4-juin-2025";"OK"
"Événements  Activité Physique Adaptée au GHE";"post";"/evenements-activite-physique-adaptee-ghe/";"Publié";"/actualites/evenements-activite-physique-adaptee-au-ghe";"Synthèse FALC requise"
"L&rsquo,Activité physique adaptée  Hôpital Femme Mère Enfant (BRON)";"post";"/hopital-femme-mere-enfant/";"Publié";"/actualites/lrsquoactivite-physique-adaptee-hopital-femme-mere-enfant-bron";"Synthèse FALC requise"
"Journée Handiboost du 5 juin 2024";"post";"/journee-handiboost-2024/";"Publié";"/actualites/journee-handiboost-du-5-juin-2024";"OK"
"Journée Handiboost du 7 juin 2023";"post";"/journee-handiboost-2023-bougezcommevousetes-2/";"Publié";"/actualites/journee-handiboost-du-7-juin-2023";"OK"
"Journée Handiboost du 8 juin 2022";"post";"/journee-handiboost-du-8-juin-2022/";"Publié";"/actualites/journee-handiboost-du-8-juin-2022";"OK"
"Reportage photos";"post";"/reportage-photos/";"Publié";"/actualites/reportage-photos";"OK"
